rowid,Class,Position,Sail Number,Sailor,Boat Name,Club Name,Points,R1,R2,R3,R4,R5,R6
1,420 Champ,1,USA 871,Brooks Reed,NA,Hingham Yacht Club,8,1,1,3,1,2,-20
2,420 Champ,1,USA 871,Trent Hesselman,NA,Hingham Yacht Club,8,1,1,3,1,2,-20
3,420 Champ,2,USA 8241,Sawyer Reed,NA,Hingham Yacht Club,20,2,3,5,5,-17,5
4,420 Champ,2,USA 8241,Andrew Engel,NA,Hingham Yacht Club,20,2,3,5,5,-17,5
5,420 Champ,3,USA 1905,James Knowlton,NA,Buck's Harbor Yacht Club,21,5,7,-13,2,5,2
6,420 Champ,3,USA 1905,Sloan Phillips,NA,Buck's Harbor Yacht Club,21,5,7,-13,2,5,2
7,420 Champ,4,USA 2296,Ian McCaffrey,Kiss My Transom,Sandy Bay Yacht Club,22,3,8,1,-9,7,3
8,420 Champ,4,USA 2296,Katy Benagh,Kiss My Transom,Sandy Bay Yacht Club,22,3,8,1,-9,7,3
9,420 Champ,5,USA 6906,Sandy Yale,NA,Portland Yacht Club,28,8,2,11,-12,3,4
10,420 Champ,5,USA 6906,Elsa Dean-Muncie,NA,Portland Yacht Club,28,8,2,11,-12,3,4
11,420 Champ,6,USA 10,Gunnar Nee,NA,Cohasset Yacht Club,28,4,4,6,3,11,-25
12,420 Champ,6,USA 10,Tegan Sturdy,NA,Cohasset Yacht Club,28,4,4,6,3,11,-25
13,420 Champ,7,USA 8497,Porter Bell,NA,Hingham Yacht Club,30,12,-13,2,4,6,6
14,420 Champ,7,USA 8497,Haley Nelson,NA,Hingham Yacht Club,30,12,-13,2,4,6,6
15,420 Champ,8,USA 7273,Ben Trotsky,NA,Sandy Bay Yacht Club,34,6,6,-17,6,8,8
16,420 Champ,8,USA 7273,Max Mercer,NA,Sandy Bay Yacht Club,34,6,6,-17,6,8,8
17,420 Champ,9,USA 8696,Nathan Selian,NA,Harraseeket Yacht Club,44,11,14,4,8,-19,7
18,420 Champ,9,USA 8696,Kique Ruiz,NA,Harraseeket Yacht Club,44,11,14,4,8,-19,7
19,420 Champ,10,USA 781,Ashley Hoguet,NA,Pleon,53,15,11,9,7,-30,11
20,420 Champ,10,USA 781,Jessica West,NA,Pleon,53,15,11,9,7,-30,11
21,420 Champ,11,USA 6905,Samuel Rooks,NA,Portland Yacht Club,62,-29,16,8,19,18,1
22,420 Champ,11,USA 6905,Danika Hluska,NA,Portland Yacht Club,62,-29,16,8,19,18,1
23,420 Champ,12,USA 8495,Sam Dunn,NA,Hingham Yacht Club,62,-25,10,18,10,12,12
24,420 Champ,12,USA 8495,Trevor Buckeridge,NA,Hingham Yacht Club,62,-25,10,18,10,12,12
25,420 Champ,13,USA 7199,James Leavitt,NA,Portland Yacht Club,66,7,-21,15,11,20,13
26,420 Champ,13,USA 7199,Maddie Marston,NA,Portland Yacht Club,66,7,-21,15,11,20,13
27,420 Champ,14,USA 596,Eva Ermlich,NA,Sail Maine,69,10,23,21,14,1,-24
28,420 Champ,14,USA 596,Valyn Mogensen,NA,Sail Maine,69,10,23,21,14,1,-24
29,420 Champ,15,USA 7742,Hailee McSweeney,debie mcsweeney,Agamenticus Yacht Club,69,9,5,-23,22,15,18
30,420 Champ,15,USA 7742,Calvin May,debie mcsweeney,Agamenticus Yacht Club,69,9,5,-23,22,15,18
31,420 Champ,16,USA 7340,Sean Montgomery,NA,Cottage Park Yacht Club,72,19,19,7,17,10,-26
32,420 Champ,16,USA 7340,Emily Rodriguez,NA,Cottage Park Yacht Club,72,19,19,7,17,10,-26
33,420 Champ,17,USA 8720,Tom Rogers,Ellen Rogers,Hingham Yacht Club,73,16,20,10,13,14,-22
34,420 Champ,17,USA 8720,Kate Rogers,Ellen Rogers,Hingham Yacht Club,73,16,20,10,13,14,-22
35,420 Champ,18,USA 6491,Michael Cunniff,NA,Pleon,75,13,-28,16,21,16,9
36,420 Champ,18,USA 6491,Mabel Sliney,NA,Pleon,75,13,-28,16,21,16,9
37,420 Champ,19,USA 7748,John O'Rourke,NA,Agamenticus Yacht Club,78,14,25,19,16,4,-27
39,420 Champ,20,USA 744,Gavin Sanborn,NA,Sail Maine,83,18,17,22,-30,9,17
40,420 Champ,20,USA 744,JOHN Horangic,NA,Sail Maine,83,18,17,22,-30,9,17
41,420 Champ,21,USA 4061,Connor Corcoran,NA,Sail Maine,86,17,12,20,-24,22,15
42,420 Champ,21,USA 4061,Aiden Springer,NA,Sail Maine,86,17,12,20,-24,22,15
43,420 Champ,22,USA 8618,Jacob Selian,NA,Harraseeket Yacht Club,103,23,9,24,26,-33,21
44,420 Champ,22,USA 8618,Jackson Giumarro,NA,Harraseeket Yacht Club,103,23,9,24,26,-33,21
45,420 Champ,23,USA 11,JD Comeau,NA,Cohasset Yacht Club,104,20,18,27,-28,23,16
46,420 Champ,23,USA 11,Charlie Comeau,NA,Cohasset Yacht Club,104,20,18,27,-28,23,16
47,420 Champ,24,USA 1730,Wil Lawton,NA,Cottage Park Yacht Club,112,22,27,25,25,13,-28
