rowid,Class,Position,Sail Number,Sailor,Boat Name,Club,Division,Points,R1,R2,R3,R4,R5,R6,R7,R8,sailor_count
1,Opti Champ,1,USA 21308,Maximilian Seuss,NA,PLEON YC,Blue,9,2,-3,1,1,2,1,1,1,1
2,Opti Champ,1,USA 21308,NA,NA,PLEON YC,NA,9,2,-3,1,1,2,1,1,1,2
3,Opti Champ,2,USA 19464,Hadley Reed,NA,Hingham Yacht Club,White,24,5,-9,2,3,4,2,6,2,1
4,Opti Champ,2,USA 19464,NA,NA,Hingham Yacht Club,NA,24,5,-9,2,3,4,2,6,2,2
5,Opti Champ,3,USA 13589,Wyatt Wilkinson,NA,Sandy Bay Yacht Club,Blue,31,1,-13,8,7,5,4,3,3,1
6,Opti Champ,3,USA 13589,NA,NA,Sandy Bay Yacht Club,NA,31,1,-13,8,7,5,4,3,3,2
7,Opti Champ,4,USA 20551,William Gear,NA,Agamenticus Yacht Club,Red,37,-29,1,3,4,3,7,5,14,1
8,Opti Champ,4,USA 20551,NA,NA,Agamenticus Yacht Club,NA,37,-29,1,3,4,3,7,5,14,2
9,Opti Champ,5,USA 13321,Sam Robison,Gust,Pleon,Red,45,7,-12,6,10,8,3,2,9,1
10,Opti Champ,5,USA 13321,NA,Gust,Pleon,NA,45,7,-12,6,10,8,3,2,9,2
11,Opti Champ,6,USA 18875,Max Dressel,NA,Pleon YC,Blue,58,10,6,4,8,-25,10,4,16,1
12,Opti Champ,6,USA 18875,NA,NA,Pleon YC,NA,58,10,6,4,8,-25,10,4,16,2
13,Opti Champ,7,USA 10287,Ian Smith,Knot Wet,Hingham Yacht Club,Blue,65,15,5,9,16,1,-17,14,5,1
14,Opti Champ,7,USA 10287,NA,Knot Wet,Hingham Yacht Club,NA,65,15,5,9,16,1,-17,14,5,2
15,Opti Champ,8,USA 21923,Connor Lund,NA,Portland Yacht Club,Blue,72,-24,16,13,14,9,5,8,7,1
16,Opti Champ,8,USA 21923,NA,NA,Portland Yacht Club,NA,72,-24,16,13,14,9,5,8,7,2
17,Opti Champ,9,USA 19777,Libby Rogers,Liberator,Hingham Yacht Club,Blue,72,6,8,11,6,-19,11,17,13,1
18,Opti Champ,9,USA 19777,NA,Liberator,Hingham Yacht Club,NA,72,6,8,11,6,-19,11,17,13,2
19,Opti Champ,10,USA 20853,Patrick Wahlig,NA,Portland Yacht Club,Red,76,8,4,21,5,-29,16,12,10,1
20,Opti Champ,10,USA 20853,NA,NA,Portland Yacht Club,NA,76,8,4,21,5,-29,16,12,10,2
21,Opti Champ,11,USA 14234,Kent Yaoita,NA,Pleon,Blue,86,16,-20,7,9,17,6,16,15,1
22,Opti Champ,11,USA 14234,NA,NA,Pleon,NA,86,16,-20,7,9,17,6,16,15,2
23,Opti Champ,12,USA 11098,Will Matthews,NA,Hingham Yacht Club,Blue,87,19,17,-20,11,18,9,7,6,1
24,Opti Champ,12,USA 11098,NA,NA,Hingham Yacht Club,NA,87,19,17,-20,11,18,9,7,6,2
25,Opti Champ,13,USA 22657,Summer McSweeney,Peanut,Agamenticus Yacht Club,Red,87,11,18,10,-25,10,15,11,12,1
26,Opti Champ,13,USA 22657,NA,Peanut,Agamenticus Yacht Club,NA,87,11,18,10,-25,10,15,11,12,2
27,Opti Champ,14,USA 6771,Thomas Svencer,Downdraft,Pleon Yacht Club,Blue,90,3,-25,15,20,6,18,20,8,1
28,Opti Champ,14,USA 6771,NA,Downdraft,Pleon Yacht Club,NA,90,3,-25,15,20,6,18,20,8,2
29,Opti Champ,15,USA 99,Beatrice May,NA,Agamenticus Yacht Club,Blue,90,13,11,12,22,11,12,9,-24,1
